Date,P/L,P/VPA,P/FCO,ROE,LC,LPA,VPA,Adj Close,IBOV,Resultado,Decisao,Empresa
2014-12-28,3.01,0.66,-25.7,21.89,2.95,13.3,60.76,-0.17634066472667087,-0.12725097218067605,-0.04908969254599482,0,CLSC3
2015-12-28,8.85,0.52,1.8,5.87,1.07,3.39,57.68,-0.27148068820540383,0.3660085915364226,-0.6374892797418265,0,CLSC3
2016-12-28,-86.0,0.4,1.11,-0.47,0.92,-0.25,53.82,0.39534910935163237,0.27801010337559795,0.11733900597603442,1,CLSC3
2017-12-28,14.29,0.54,1.63,3.79,0.9,2.1,55.41,0.5539136447882747,0.15032328996623123,0.4035903548220434,1,CLSC3
2018-12-28,9.48,0.88,-2.98,9.31,0.86,4.85,52.12,0.05166586185508071,0.3259526437357061,-0.2742867818806254,0,CLSC3
2019-12-28,6.53,1.32,13.96,20.15,0.97,7.35,36.48,0.22539001635392197,0.02159884668852019,0.20379116966540178,1,CLSC3
2020-12-28,4.46,1.17,2.53,26.13,1.12,13.45,51.45,0.22222968440816593,-0.11916741564539568,0.3413971000535616,1,CLSC3
2011-12-28,72.31,1.22,6.78,1.64,0.6,0.13,7.73,0.37739274641925524,0.07814766335302648,0.29924508306622877,1,TPIS3
2012-12-28,4.27,1.19,10.84,27.96,0.73,2.93,10.48,-0.22240822958396633,-0.15889552434702714,-0.0635127052369392,0,TPIS3
2013-12-28,-16.96,0.8,22.78,-4.7,0.58,-0.56,11.94,-0.24324317613521507,-0.021885423371759583,-0.22135775276345548,0,TPIS3
2014-12-28,-3.16,0.94,4.95,-30.0,0.5,-2.44,8.15,-0.30553760997899493,-0.12725097218067605,-0.17828663779831888,0,TPIS3
2015-12-28,12.11,0.55,1.7,4.61,0.43,0.38,8.34,-0.2755926836243012,0.3660085915364226,-0.6416012751607238,0,TPIS3
2016-12-28,-1.75,0.5,0.68,-28.67,0.48,-1.81,6.31,0.06329116675996915,0.27801010337559795,-0.2147189366156288,0,TPIS3
2017-12-28,-60.0,0.32,0.94,-0.5,0.3,-0.04,7.56,-0.4966875806154559,0.15032328996623123,-0.6470108705816872,0,TPIS3
2018-12-28,0.36,0.21,1.21,58.04,0.2,4.22,7.27,0.0961539948862844,0.3259526437357061,-0.2297986488494217,0,TPIS3
2019-12-28,-1.55,0.4,1.16,-25.64,0.26,-1.09,4.27,0.3040935497467303,0.02159884668852019,0.2824947030582101,1,TPIS3
2020-12-28,4.35,0.91,2.99,20.75,0.22,1.08,5.19,-0.03967380255457942,-0.11916741564539568,0.07949361309081626,1,TPIS3
2011-12-28,10.43,2.1,-376.13,20.16,0.96,5.56,27.56,-0.40909531517421327,0.07814766335302648,-0.48724297852723975,0,TRPL4
2012-12-28,6.44,1.07,29.17,16.61,1.91,5.12,30.83,-0.14768430068313565,-0.15889552434702714,0.01121122366389149,1,TRPL4
2013-12-28,141.68,0.9,2.27,0.65,2.09,0.19,29.82,0.621837501023331,-0.021885423371759583,0.6437229243950906,1,TRPL4
2014-12-28,18.04,1.31,13.78,7.23,3.02,2.3,31.74,0.15131764510618395,-0.12725097218067605,0.27856861728686,1,TRPL4
2015-12-28,14.93,1.36,14.18,9.15,2.13,3.06,33.48,0.4702267839935541,0.3660085915364226,0.10421819245713149,1,TRPL4
2016-12-28,2.17,1.04,79.14,47.9,2.81,29.94,62.51,0.08838498765843639,0.27801010337559795,-0.18962511571716156,0,TRPL4
2017-12-28,7.96,0.97,19.18,12.19,3.35,8.29,67.99,0.23855846129420066,0.15032328996623123,0.08823517132796943,1,TRPL4
2018-12-28,6.75,1.12,9.67,16.65,4.63,11.42,68.6,0.40576738385934474,0.3259526437357061,0.07981474012363865,1,TRPL4
2019-12-28,8.43,1.08,11.01,12.81,3.05,2.68,20.89,0.324820609702948,0.02159884668852019,0.3032217630144278,1,TRPL4
2020-12-28,5.45,1.3,13.31,23.8,4.01,5.1,21.44,0.0001251534624520101,-0.11916741564539568,0.11929256910784769,1,TRPL4
2011-12-28,9.11,1.03,3.44,11.29,6.28,8.78,77.76,0.22661162883798136,0.07814766335302648,0.14846396548495489,1,TKNO4
2012-12-28,12.21,1.17,24.56,9.56,7.91,7.25,75.9,0.1531433541482512,-0.15889552434702714,0.31203887849527834,1,TKNO4
2013-12-28,12.06,1.17,18.53,9.74,8.25,7.34,75.36,-0.37465218069552964,-0.021885423371759583,-0.35276675732377005,0,TKNO4
2014-12-28,55.67,1.21,9.05,2.17,6.59,1.59,73.3,0.012054866689340082,-0.12725097218067605,0.13930583887001613,1,TKNO4
2015-12-28,-29.5,1.27,40.51,-4.31,6.6,-3.0,69.47,-0.4227735599708553,0.3660085915364226,-0.7887821515072779,0,TKNO4
2016-12-28,-15.5,1.39,-17.65,-8.94,4.76,-5.71,63.8,0.16627769149689064,0.27801010337559795,-0.1117324118787073,0,TKNO4
2017-12-28,-14.3,1.47,-16.28,-10.31,4.17,-6.19,60.06,0.0,0.15032328996623123,-0.15032328996623123,0,TKNO4
2018-12-28,146.58,0.6,-186.52,0.41,3.25,0.24,58.81,0.0028571808696404855,0.3259526437357061,-0.3230954628660656,0,TKNO4
2019-12-28,11.04,0.57,7.33,5.16,3.17,3.18,61.69,0.21904247797484144,0.02159884668852019,0.19744363128632125,1,TKNO4
2020-12-28,19.03,0.86,8.61,4.54,3.78,2.89,63.79,0.7323916608507721,-0.11916741564539568,0.8515590764961678,1,TKNO4
2011-12-28,10.92,1.58,250.45,14.46,2.39,0.78,5.38,0.5506735500695572,0.07814766335302648,0.47252588671653073,1,RAPT4
2012-12-28,105.75,2.36,16.14,2.29,1.95,0.12,5.37,-0.10224105524796523,-0.15889552434702714,0.05665446909906191,1,RAPT4
2013-12-28,16.9,2.42,9.32,14.31,2.63,0.68,4.75,-0.44921709340519866,-0.021885423371759583,-0.4273316700334391,0,RAPT4
2014-12-28,8.22,0.95,2.37,11.58,2.88,0.58,5.04,-0.4688281217799125,-0.12725097218067605,-0.34157714959923646,0,RAPT4
2015-12-28,-35.0,0.53,5.37,-1.55,2.12,-0.07,4.59,0.48451148630734364,0.3660085915364226,0.11850289477092102,1,RAPT4
2016-12-28,-18.16,0.63,2.68,-3.56,2.45,-0.19,5.47,1.0146955115198821,0.27801010337559795,0.7366854081442842,1,RAPT4
2017-12-28,65.07,1.65,6.91,2.45,1.96,0.14,5.52,0.3162814629673274,0.15032328996623123,0.16595817300109617,1,RAPT4
2018-12-28,22.05,1.64,8.92,7.42,2.2,0.44,5.91,0.5203959125119435,0.3259526437357061,0.1944432687762374,1,RAPT4
2019-12-28,18.61,2.13,9.49,11.38,2.49,0.72,6.29,0.18780223298517384,0.02159884668852019,0.16620338629665365,1,RAPT4
2020-12-28,7.31,1.82,6.0,24.95,1.75,1.92,7.7,-0.2927904086025892,-0.11916741564539568,-0.17362299295719352,0,RAPT4
2011-12-28,7.51,0.96,0.81,12.7,1.68,1.97,15.49,0.06457937538790826,0.07814766335302648,-0.01356828796511822,0,BMEB3
2012-12-28,13.03,0.86,1.75,6.66,1.83,1.19,17.92,-0.11553574760481167,-0.15889552434702714,0.04335977674221547,1,BMEB3
2013-12-28,659.5,0.72,-2.77,0.1,1.97,0.02,18.39,-0.49242432253177626,-0.021885423371759583,-0.4705388991600167,0,BMEB3
2014-12-28,-1.83,0.46,-2.96,-25.47,1.46,-3.67,14.42,0.11860411535400095,-0.12725097218067605,0.245855087534677,1,BMEB3
2015-12-28,4.4,0.46,1.27,10.36,1.64,1.59,15.36,-0.18387233166873984,0.3660085915364226,-0.5498809232051625,0,BMEB3
